name,mass,diameter,density,gravity,rotation_period,length_of_day,distance_from_sun,orbital_period,orbital_inclination,orbital_eccentricity,axial_tilt,mean_temperature
Mercury,0.33,4879,5427,3.7,1407.6,4222.6,57.9,88,7,0.205,0.034,167
Venus,4.87,12104,5243,8.9,-5832.5,2802,108.2,224.7,3.4,0.007,177.4,464
Earth,5.97,12756,5514,9.8,23.9,24,149.6,365.2,0,0.017,23.4,15
Mars,0.642,6792,3933,3.7,24.6,24.7,227.9,687,1.9,0.094,25.2,-65
Jupiter,1898,142984,1326,23.1,9.9,9.9,778.6,4331,1.3,0.049,3.1,-110
Saturn,568,120536,687,9,10.7,10.7,1433.5,10747,2.5,0.057,26.7,-140
Uranus,86.8,51118,1271,8.7,-17.2,17.2,2872.5,30589,0.8,0.046,97.8,-195
Neptune,102,49528,1638,11,16.1,16.1,4495.1,59800,1.8,0.011,28.3,-200
Pluto,0.0146,2370,2095,0.7,-153.3,153.3,5906.4,90560,17.2,0.244,122.5,-225
